2008-Jan-04 11:03:43.883
2008-Jan-05 07:43:11.040
2008-Jan-05 10:54:13.342
2008-Jan-05 18:48:12.280
2008-Jan-06 02:32:11.511
2008-Jan-06 10:42:42.270
2008-Jan-07 02:17:11.864
2008-Jan-07 06:06:41.427
2008-Jan-07 10:12:12.814
2008-Jan-07 18:02:10.167
2008-Jan-07 23:55:44.703
2008-Jan-08 06:10:10.652
2008-Jan-08 10:51:13.747
2008-Jan-09 05:44:42.301
2008-Jan-09 10:38:42.651
2008-Jan-10 00:02:12.644
2008-Jan-10 06:02:12.309
2008-Jan-10 10:27:12.585
2008-Jan-11 00:02:10.303
2008-Jan-12 10:22:11.714
2008-Jan-13 00:02:06.503
2008-Jan-13 10:08:11.046
2008-Jan-14 00:07:36.223
2008-Jan-15 00:02:05.721
2008-Jan-15 10:18:40.972
2008-Jan-16 00:00:05.794
2008-Jan-16 11:20:05.301
2008-Jan-16 18:02:37.298
2008-Jan-16 23:48:07.165
2008-Jan-17 17:52:13.206
2008-Jan-18 06:02:07.201
2008-Jan-18 10:32:42.576
2008-Jan-18 17:56:09.392
2008-Jan-21 11:34:41.608
2008-Jan-22 00:11:06.624
2008-Jan-22 05:39:36.651
2008-Jan-22 10:51:12.341
2008-Jan-23 00:02:13.050
2008-Jan-23 09:50:13.221
2008-Jan-24 00:02:12.637
2008-Jan-24 10:27:13.544
2008-Jan-24 23:53:13.049
2008-Jan-25 10:00:13.101
2008-Jan-26 06:02:08.462
2008-Jan-26 10:37:08.922
2008-Jan-27 00:03:38.934
2008-Jan-27 18:20:35.208
2008-Jan-28 00:02:07.984
2008-Jan-28 16:06:12.618
2008-Feb-01 18:11:56.913
2008-Feb-02 10:21:09.138
2008-Feb-02 18:01:08.772
2008-Feb-03 00:01:38.424
2008-Feb-03 06:02:08.575
2008-Feb-03 10:07:08.437
2008-Feb-03 18:03:37.898
2008-Feb-04 00:07:08.110
2008-Feb-04 05:34:37.607
2008-Feb-04 10:44:39.760
2008-Feb-04 18:25:09.400
2008-Feb-05 00:02:09.087
2008-Feb-05 05:56:09.112
2008-Feb-05 10:35:09.647
2008-Feb-06 10:55:39.121
2008-Feb-24 09:50:41.217
2008-Feb-27 23:47:11.798
2008-Apr-20 06:30:36.922
2008-Apr-25 06:21:05.788
2008-Apr-27 06:02:07.448
2008-Apr-27 11:01:14.873
2008-Apr-28 05:31:36.864
2008-Apr-30 06:16:05.775
2008-May-01 05:45:07.178
2008-May-02 06:02:09.035
2008-May-03 06:30:08.610
2008-May-04 05:59:06.015
2008-May-05 06:07:06.193
